table_catalog,table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,is_generated,generation_expression,is_stored,is_hidden,is_updatable,is_system_defined,is_partitioning_column,clustering_ordinal_position,collation_name,column_default,rounding_mode,data_policies,policy_tags
stock-poc-479411,raw,div_eod_div,_airbyte_raw_id,1,NO,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,_airbyte_extracted_at,2,NO,TIMESTAMP,NEVER,,,NO,,NO,YES,3,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,_airbyte_meta,3,NO,JSON,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,_airbyte_generation_id,4,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,date,5,YES,STRING,NEVER,,,NO,,NO,NO,2,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,value,6,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,period,7,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,symbol,8,YES,STRING,NEVER,,,NO,,NO,NO,1,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,currency,9,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,recordDate,10,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,paymentDate,11,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,declarationDate,12,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,div_eod_div,unadjustedValue,13,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,_airbyte_raw_id,1,NO,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,_airbyte_extracted_at,2,NO,TIMESTAMP,NEVER,,,NO,,NO,YES,3,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,_airbyte_meta,3,NO,JSON,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,_airbyte_generation_id,4,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,KEY,5,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,FREQ,6,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,UNIT,7,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,TITLE,8,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,BREAKS,9,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,OBS_COM,10,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,PUBL_MU,11,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,COVERAGE,12,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,DECIMALS,13,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,DISS_ORG,14,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,ICP_ITEM,15,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,OBS_CONF,16,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,PUBL_ECB,17,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,REF_AREA,18,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,DATA_COMP,19,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,OBS_VALUE,20,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,UNIT_MULT,21,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,ADJUSTMENT,22,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,COLLECTION,23,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,ICP_SUFFIX,24,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,OBS_STATUS,25,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,series_key,26,YES,STRING,NEVER,,,NO,,NO,NO,1,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,COMPILATION,27,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,DOM_SER_IDS,28,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,PUBL_PUBLIC,29,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,TIME_FORMAT,30,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,TIME_PERIOD,31,YES,STRING,NEVER,,,NO,,NO,NO,2,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,TITLE_COMPL,32,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,COMPILING_ORG,33,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,OBS_PRE_BREAK,34,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,SOURCE_AGENCY,35,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,STS_INSTITUTION,36,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,ecb_series_observations,UNIT_INDEX_BASE,37,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,fred_series_observations,_airbyte_raw_id,1,NO,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,fred_series_observations,_airbyte_extracted_at,2,NO,TIMESTAMP,NEVER,,,NO,,NO,YES,3,NULL,NULL,,"{
  ""data_policies"": []
}",[]
stock-poc-479411,raw,fred_series_observations,_airbyte_meta,3,NO,JSON,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[]
